Date,Price
2023/1/1,1351.101955
2023/2/1,1340.48805
2023/3/1,1328.44663
2023/4/1,1321.373625
2023/5/1,1236.473413
2023/6/1,1259.477659
2023/7/1,1271.501857
2023/8/1,1252.174239
2023/9/1,1241.507071
2023/10/1,1191.203386
2023/11/1,1228.438159
2023/12/1,1261.185071
2024/1/1,1252.700935
2024/2/1,1245.742571
2024/3/1,1303.922857
2024/4/1,1416.839045
2024/5/1,1517.574522
2024/6/1,1447.22505
2024/7/1,1407.796957
2024/8/1,1347.167659
2024/9/1,1388.869286
2024/10/1,1430.098696
2024/11/1,1361.359071
2024/12/1,1336.486159
2025/1/1,1346.502065
2025/2/1,1399.64625
2025/3/1,1460.3735
2025/4/1,1375.904386
2025/5/1,1429.680136
2025/6/1,1475.260214
